Name,City,Type,Classification,Enrollment,FB Athletics
Iowa State University,AMES,Public,Research university,34732,IowaStateAthletics
University of Northern Iowa,CEDAR FALLS,Public,Master's university,13168,uniathletics
Coe College,CEDAR RAPIDS,Private not-for-profit,Baccalaureate college,1378,coeathletics
Mount Mercy University,CEDAR RAPIDS,Private not-for-profit,Baccalaureate college,1824,mountmercymustangs
Saint Ambrose University,DAVENPORT,Private not-for-profit,Master's university,3567,stambroseuniversity
Luther College,DECORAH,Private not-for-profit,Baccalaureate college,2471,luthercollegeathletics
Grand View University,DES MOINES,Private not-for-profit,Baccalaureate college,2229,grandviewathletics
Drake University,DES MOINES,Private not-for-profit,Master's university,5384,drakeathletics
Clarke University,DUBUQUE,Private not-for-profit,Baccalaureate college,1232,clarkeuniversity
Loras College,DUBUQUE,Private not-for-profit,Baccalaureate college,1555,lorasathletics
University of Dubuque,DUBUQUE,Private not-for-profit,Master's university,2003,udoaa
Upper Iowa University,FAYETTE,Private not-for-profit,Master's university,5713,upperiowauniversity
Grinnell College,GRINNELL,Private not-for-profit,Baccalaureate college,1693,grinnellcollegeathletics
Simpson College,INDIANOLA,Private not-for-profit,Baccalaureate college,1866,simpsonathletics
University of Iowa,IOWA CITY,Public,Research university,31498,hawkeyesports
Graceland University-Lamoni,LAMONI,Private not-for-profit,Master's university,2320,gujackets
Iowa Wesleyan College,MOUNT PLEASANT,Private not-for-profit,Baccalaureate college,741,iowawesleyan
Cornell College,MOUNT VERNON,Private not-for-profit,Baccalaureate college,1197,CornellCollege
Northwestern College,ORANGE CITY,Private not-for-profit,Baccalaureate college,1211,nwciowaalum
William Penn University,OSKALOOSA,Private not-for-profit,Baccalaureate college,2104,williampennuniversityathletics
Central College,PELLA,Private not-for-profit,Baccalaureate college,1604,centralcollegedutch
Dordt College,SIOUX CENTER,Private not-for-profit,Baccalaureate college,1407,dordtdefenders
Briar Cliff University,SIOUX CITY,Private not-for-profit,Baccalaureate college,1185,bcuchargers
Morningside College,SIOUX CITY,Private not-for-profit,Baccalaureate college,2047,morningside.edu
Buena Vista University,STORM LAKE,Private not-for-profit,Baccalaureate college,2555,bvuathletics
Wartburg College,WAVERLY,Private not-for-profit,Baccalaureate college,1805,wartburgcollege
