nearHoliday,sum_sale_liters,sum_sale_dollars
-49,519515.845,7281442.61000001
-48,448773.151,5975987.68
-47,466994.274,6372840.69
-46,395944.62,5658738.79
-45,1010.35,26591.66
-42,467853.681,6606108.53
-41,421506.681,5530974.74
-40,398511.897,5430653.99
-39,399931.407,5698073.5
-38,55.2,922.32
-35,469353.7,6783008.98
-34,403605.95,5459842.33
-33,492201.563,6885389.99
-32,485422.393,6938626.21
-31,966.275,48463.28
-28,943012.642,13337779.04
-27,823456.05,10789374.55
-26,813003.569999999,11117029.46
-25,737812.983,10437488.44
-24,660.75,14892.01
-21,1117629.155,15508778.3
-20,943259.053,12299291.4
-19,1061747.497,14392613.66
-18,1072621.397,15215500.95
-17,402548.273,5596727.56
-16,376756.031,5279540.12
-15,448209.932,6356973.58
-14,2391595.051,33525822.24
-13,2208100.932,29760315.2199999
-12,2030719.042,27827111.52
-11,2027223.538,29334958.6
-10,756635.284,10895373.42
-9,816749.714999999,11787772.09
-8,1171376.526,16888644.06
-7,3647078.051,51563210.9699999
-6,2997580.849,40997442.73
-5,2811750.172,39302068.93
-4,2514571.908,36388586.0200001
-3,2053319.163,30007791.76
-2,1207072.502,18177860
-1,546636.23,7755055.10999999
0,1486955.236,21632943.99
1,2949433.82300001,41082942.63
2,2782811.891,39192635.84
3,2540223.41400001,36915150.27
4,1262399.295,18136109.84
5,1128127.216,16120829.03
6,1273042.498,18288043.07
7,3338348.84100001,47674593.0999999
8,2147856.73,28929752.55
9,2041690.765,28538464.78
10,1926927.051,27636108.44
11,843412.381,12299125.01
12,704747.488,9878903.24999999
13,690865.589,10057803.41
14,1923775.528,27801403.72
15,1317456.658,17979497.55
16,1263306.86,17810785.71
17,1353325.151,19557642.15
18,314150.3,4147919.56
19,324841.551,4395511.58
20,309046.403,4252002.92
21,626032.988,9081314.47999999
22,470372.235,6497301.99999999
23,402901.377,5880970.9
24,608948.695,8786435.92
25,291426.753,3954923.71
26,362465.032,4929218.06
27,341705.78,4676398.65
28,614001.874,8715620.25000001
29,487752.03,6731797.63
30,413548.573,5740398.26
31,464990,6797063.07
32,85999.681,1174742.08
35,416646.139,5937229
36,370178.156,4953737.97
37,358513.923,4983275.15
38,348841.069,5013053.09
42,457654.587,6380294.77
43,415712.848,5553628.12
44,415985.681,5693929.52
45,410924.479,5764206.11
49,115436.1,1638656.15
50,90226.375,1217349.65
51,100970.25,1497950.17
52,77927.95,1180793.12
